train_loss,val_loss,train_accuracy,val_accuracy,train_macro_f1,val_macro_f1,train_qwk,val_qwk,train_mae,val_mae
0.8260986442671552,0.7340449698034845,0.41415714780200763,0.49878934624697335,0.404965370595453,0.49519305537508035,0.20224665884176585,0.3628240866499114,0.7094150224991347,0.5702179176755447
0.7847244242104993,0.7125919445374976,0.43509865005192105,0.5048426150121066,0.42624978525198004,0.5010599302119745,0.2810934066595522,0.40150348700298877,0.6806853582554517,0.5690072639225182
0.7827735597924734,0.7000490829673287,0.43596400138456215,0.48668280871670705,0.4276586293161028,0.4758765249185408,0.2859301814086125,0.4178422679027274,0.6727241259951541,0.5920096852300242
0.6512268694803021,0.5184946412324328,0.505711318795431,0.5835351089588378,0.4981716061473585,0.583119932487597,0.43736432346094767,0.5645412130637636,0.5631706472827969,0.4552058111380145
0.5243643602828907,0.457586979028965,0.5719972308757355,0.5992736077481841,0.5763799252145306,0.6028620877831911,0.5599509832441238,0.5778359757834588,0.45932848736587056,0.43946731234866826
0.46016273747352054,0.4082207311007936,0.6228798892350295,0.6501210653753027,0.6310680383624049,0.6695875728192373,0.6273234150691245,0.6355702621632164,0.3965039806161301,0.36561743341404357
0.4266124299217071,0.3964925296875236,0.6313603322949117,0.6537530266343826,0.6426609047778288,0.668071153996061,0.6485827881321922,0.6400364013894052,0.3811007268951194,0.36803874092009686
0.4093223239629481,0.381919490656033,0.6519556940117688,0.652542372881356,0.6663884369025935,0.6671236161919151,0.6631943658144432,0.6666921253688329,0.3603322949117342,0.3595641646489104
0.3911359917440807,0.3929432563609996,0.6613014884042921,0.6501210653753027,0.6760546698157409,0.6631931665718837,0.6772361976198071,0.6317130430035123,0.3480443059882312,0.37167070217917675
0.3750265496913518,0.37539769995046585,0.6670128071997231,0.6731234866828087,0.6833881541872201,0.6868883110396785,0.6894080313574458,0.6677864547749123,0.3395638629283489,0.34382566585956414
0.3628062697358922,0.3805700583117349,0.6815507095880927,0.6937046004842615,0.6992577300158783,0.7154610739639292,0.692916194485609,0.6950892202721252,0.32710280373831774,0.3159806295399516
0.3409691039626266,0.3674067766845371,0.6957424714434061,0.6755447941888619,0.7133895268117696,0.691236655316812,0.712848367162207,0.6758250046660991,0.3096227068189685,0.34019370460048426
0.3171529619905849,0.39480430732050475,0.7106265143648322,0.6864406779661016,0.7288999784610358,0.6989174818731935,0.727625839851817,0.684874089436827,0.2931810314987885,0.32929782082324455
0.31367622578420534,0.37689409968747645,0.7137417791623399,0.6707021791767555,0.7342405602082739,0.674610604315979,0.731488425375385,0.687522481066291,0.2897196261682243,0.34261501210653755
0.3037948354939434,0.3718204233371461,0.7159916926272066,0.7142857142857143,0.7354537054114526,0.7286586246516625,0.728491354315924,0.7187455594014676,0.2890273451021115,0.2929782082324455
0.287021687471586,0.37231183120615546,0.7376254759432329,0.6937046004842615,0.7569940834338059,0.7128111342007322,0.7542361331791392,0.7083512096849409,0.26479750778816197,0.31113801452784506
0.2727674441473341,0.3896915150612376,0.7416060920733818,0.698547215496368,0.7628269075758034,0.7139308177520057,0.75541702287355,0.7159801262585286,0.26116303219106957,0.30871670702179177
0.2812757913517102,0.3568171276902604,0.7319141571478021,0.7070217917675545,0.7540721721809923,0.7280732880774274,0.7483435174874977,0.7278693516673623,0.2706818968501212,0.2966101694915254
0.2523646031687853,0.3809239807793505,0.7547594323295258,0.6973365617433414,0.7800008529246899,0.7206358370778144,0.7697332232766,0.7009446155275447,0.2464520595361717,0.30871670702179177
0.25793171704444723,0.3786436425878263,0.7545863620629976,0.7094430992736077,0.7788499223724731,0.7278530469351571,0.765713107400346,0.7132399839603423,0.24800969193492559,0.29782082324455206
0.23890735237356617,0.4230725243236626,0.777950848044306,0.715496368038741,0.8013630475648137,0.7365235539654145,0.7872185417483668,0.7261251415793759,0.22412599515403253,0.29055690072639223
0.2435099757555324,0.4465331406204016,0.7677397023191416,0.7288135593220338,0.7924380944917044,0.7500266599301083,0.780222574560473,0.7320518702104615,0.2336448598130841,0.2772397094430993
0.23987025535717355,0.39074753882864055,0.7762201453790238,0.7312348668280871,0.7993023044701913,0.7524944011992852,0.7854994089542303,0.7371737516419501,0.22585669781931464,0.2736077481840194
0.22319079557476923,0.35260292594084297,0.7786431291104188,0.7130750605326877,0.8040579125246632,0.7293889333624434,0.7899115242062401,0.7219011278828349,0.22256836275527864,0.2929782082324455
0.22034756400080527,0.45889429647935503,0.7765662859120803,0.7288135593220338,0.8038393055916955,0.7495972335863081,0.7879235196037168,0.7264286644734472,0.22429906542056074,0.2772397094430993
0.2082681130448936,0.45664045526747554,0.7860851505711319,0.725181598062954,0.8129614561514873,0.7465913487543377,0.7989319595781365,0.7285860805055036,0.21426098996192455,0.2796610169491525
